product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,discount
145499994,Quẳng Gánh Lo Đi & Vui Sống (Khổ Nhỏ)(Tái Bản),Dale Carnegie,68000,44800,365,Sách nghệ thuật sống đẹp,65,4.8,376,Nhà Xuất Bản Tổng hợp TP.HCM,0.34
205148094,Cánh Cửa Mở Rộng -Thần Thoại Sisyphus,Albert Camus,95000,70300,16,Triết Học,1,5,204,NXB Trẻ,0.26
203883773,Tinh Thần Hiện Đại - Lịch Sử Hình Thành Và Phát Triển,John Herman Randall Jr.,455000,348000,46,Lịch Sử Thế Giới,6,4.7,864,Nhà Xuất Bản Tri Thức,0.24
115093388,"Bộ sách Từ Bạn Đời Đến Bạn Đạo: Yêu Trong Tỉnh Thức, Kiến Tạo Gia Đình Hạnh Phúc - Tuệ An",Tuệ An,370000,337400,604,Sách Hôn Nhân - Giới Tính,93,5,330,Nhà Xuất Bản Hồng Đức,0.09
205508265,(Bìa cứng) HIMALAYA NHỮNG CUỘC PHIÊU LƯU - THIỀN - CUỘC SỐNG –Ruskin Bond & Namita Gokhale tuyển chọn – Hà Thị Thanh Huyền dịch – NXB Giáo Dục Việt Nam ,Unknown,499000,499000,32,Du ký,1,5,330,Nhà Xuất Bản Giáo Dục Việt Nam,0
136539753,Tự Chữa Lành Thông Qua Hiểu Biết Về Khoa Học Tâm Thức,Dương Thị Quỳnh Châu,119000,99000,636,Lĩnh vực khác,79,5,280,Nhà Xuất Bản Thế Giới,0.17
46789749,Sa Môn Không Hải Thết Yến Bầy Quỷ Đại Đường Tập 1,Yumemakura Baku,130000,78000,1271,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,191,4.7,368,Nhà Xuất Bản Hà Nội,0.4
193684715,Ngoan Cường Vượt Định Kiến,Chimamanda Ngozi Adichie,79000,56900,175,Sách Tâm Lý Tuổi Teen,17,4.6,112,Nhà Xuất Bản Thanh Niên,0.28
198198501,Ngang Tàng - Tập 2,Vu Triết,198000,124900,137,Truyện dài,27,5,488,Nhà Xuất Bản Hội Nhà Văn,0.37
80142837,Hackers IELTS Basic- Listening,Hackers,229000,146000,900,Sách Học Tiếng Anh,248,5,448,Nhà Xuất Bản Thế Giới,0.36
196831940,Thấu Hiểu Con Người,Nate Regier,185000,157000,102,Others,6,4.7,276,Nhà Xuất Bản Tổng hợp TP.HCM,0.15
41615620,Thám Tử Lừng Danh Conan Tập 11 (Tái Bản 2019),Gosho Aoyama,20000,19000,637,Others,65,5,180,Unknown,0.05
12533371,Đạo Đức Kinh,Lão Tử,99000,65000,1427,Thơ,51,5,212,Unknown,0.34
447164,Tôi Vẽ - Phương Pháp Tự Học Vẽ Truyện Tranh,Nhóm tác giả,100000,68000,5789,Tranh Truyện,946,4.8,296,Unknown,0.32
72742668,Sức Mạnh Của Văn Hóa Doanh Nghiệp,Chris Dyer,158000,150100,26,"Sách quản trị, lãnh đạo",3,3.7,400,Nhà Xuất Bản Dân Trí,0.05
36854641,Sự Thật Về Thế Giới : Mười Lý Do Khiến Ta Hiểu Sai Về Thế Giới - Và Vì Sao Thế Gian Này Tốt Hơn Ta Tưởng,Hans Rosling Ola Rosling,160000,114000,4376,Others,560,4.8,454,Unknown,0.29
72512093,Bộ Sách Tự Xóa Thông Minh - Bé Vào Lớp 1 (5 -6 tuổi) (Tặng Kèm Bút Xóa),Unknown,89000,56100,1090,Kiến thức - Bách khoa,209,4.7,26,Nhà Xuất Bản Mỹ Thuật,0.37
73684906,Marketing Phải Bán Được Hàng,Donald Miller,159000,106000,1001,Sách Marketing - Bán hàng ,141,4.8,352,Nhà Xuất Bản Lao Động,0.33
164990688,Bách Khoa Lịch Sử Thế Giới - Tái Bản 2022,nhieu tac gia,550000,422400,78,Lịch Sử Thế Giới,16,5,416,Nhà Xuất Bản Dân Trí,0.23
195624160,Thai Giáo Theo Chuyên Gia - 280 Ngày Mỗi Ngày Đọc 1 Trang,Trạch Quế Vinh,115000,80500,103,Sách Làm Cha Mẹ,2,5,256,Nhà Xuất Bản Phụ Nữ,0.3
189558675,"Sổ Tay Công Thức Giải Nhanh Vật Lý 12, Kiến Thức Trọng Tâm Vật Lý ôn thi THPT QG bản 2022",Unknown,98000,46000,108,Sách tham khảo cấp III,9,5,82,Nhà Xuất Bản Dân Trí,0.53
178502501,"Boxset ""Thời Thơ Ấu Dài Lâu""",Nguyễn Nhật Ánh,990000,688001,242,Văn học thiếu nhi,65,4.5,330,NXB Trẻ,0.31
197745260,Combo Sách Không Phải Sói Nhưng Cũng Đừng Là Cừu + Thao Túng Tâm Lý (Bộ 2 Cuốn),Lê Bảo Ngọc,227066,196020,50,Others,2,5,330,Nhiều Nhà Xuất Bản,0.14
202429188,Hiệu Ứng Lucifer - Tập 1,Philip Zimbardo,239000,146000,52,Tiểu Thuyết,5,4.6,476,Nhà Xuất Bản Thanh Niên,0.39
